,Labels,Value
1297,R-VAE,2
1298,R-VAE,2
1299,R-VAE,3
1300,R-VAE,3
1301,R-VAE,3
1302,R-VAE,3
1303,R-VAE,3
1304,R-VAE,4
1305,R-VAE,4
1306,R-VAE,4
1307,R-VAE,3
1308,R-VAE,3
1309,R-VAE,4
1310,R-VAE,4
1311,R-VAE,4
1312,R-VAE,4
1313,R-VAE,4
1314,R-VAE,4
1315,R-VAE,4
1316,R-VAE,4
1317,R-VAE,4
1318,R-VAE,4
1319,R-VAE,4
1320,R-VAE,4
1321,R-VAE,4
1322,R-VAE,3
1323,R-VAE,3
1324,R-VAE,3
1325,R-VAE,4
1326,R-VAE,4
1327,R-VAE,3
1328,R-VAE,3
1329,R-VAE,3
1330,R-VAE,3
1331,R-VAE,3
1332,R-VAE,3
1333,R-VAE,3
1334,R-VAE,3
1335,R-VAE,3
1336,R-VAE,3
1337,R-VAE,3
1338,R-VAE,3
1339,R-VAE,2
1340,R-VAE,1
1341,R-VAE,1
1342,R-VAE,2
1343,R-VAE,2
1344,R-VAE,3
1345,R-VAE,4
1346,R-VAE,4
1347,R-VAE,3
1348,R-VAE,2
1349,R-VAE,1
1350,R-VAE,0
1351,R-VAE,0
1352,R-VAE,0
1353,R-VAE,0
1354,R-VAE,0
1355,R-VAE,1
1356,R-VAE,1
1357,R-VAE,1
1358,R-VAE,2
